,Laptop Brand,Price,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Card Reader,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,RAM Bus Speed,Maximum RAM Supported,Solid State Drive,SSD Interface,Battery,Included Software,Sales Package,Other Features,Thunderbolt,Fingerprint Sensor,Security Lock Port,RAM Slots,Chipset,Hard Disk Capacity,Battery Backup,Aspect Ratio,Adapter Type,Hard Disk Speed,Country of Origin,Refresh Rate,USB Port Details,Battery Details,Other Ports,Optane Memory,Max SSD Supported,Display Port,Micro SD Card Reader,Hard Disk Interface,Rear Camera,GPU Clock Speed,VGA
97,Lenovo,"₹68,990",Core i5,11320H,Gaming,Netbook,Windows 11 Home (64-bit),396.2 x 251.9 x 24.2 mm,2.25 kg,1 year Warranty,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"250nits , Refresh Rate: 120 Hz, 45% NTSC, DC dimmer",100/1000M,Wi-Fi 6 (802.11ax) 2 x 2,v5,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0 Port,,Yes,,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphone,2W Built-in Dual Stereo speakers,Nahimic Audio,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,3200 MHz,,256 GB,,,,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",,,,,2,Intel SoC Platform,1 TB,Upto 8 hours,,,,,,,,,,,,,,,,
98,Asus,"₹1,74,990",Core i9,12900H,Gaming,Netbook,Windows 11 Home (64-bit),302 x 220 x 5.6 mm,1.18 kg,1 year Onsite Warranty,WUXGA,Yes,13.4 inches,1920 x 1200 pixels,~ 169,No,"Refresh Rate 120Hz, Response Time 30ms, Viewing Angle 89/89/89/89, Panel Tech IPS-level, Brightness 500, Contrast 1000:1, Glossy display",No,Wi-Fi 6E(802.11ax) Dual band) 2 x 2,v5.2,"1 x USB Type-C, 1 x USB 2.0",,,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Yes,Built-in 3-microphone array,Built-in Dual Speakers,Smart Amplifier Technology,No,Intel Core i9,"2.5 GHz, 14 Core",24,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB LPDDR5,,,1 TB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents",56WHrs Li-ion Battery,Yes,,,2,,,,,,,,,,,1x ROG XG Mobile Interface,,,,,,,,
99,Asus,"₹1,18,000",Core i7,12700H,Gaming,Netbook,Windows 11 Home (64-bit),354 x 251 x 24.9 mm,2.2 kg,1 year Onsite Warranty,"Full HD, IPS-level",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"300nits, Contras 1000:1, NTSC 72% SRGB 100% ",,Wi-Fi 6(802.11ax),v5.2,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,,Yes,"Backlit Chiclet Keyboard RGB, Yes",Yes,Yes,Built-in array microphone,Two built-in speakers,"AI noise-canceling technology, Dolby Atmos, Hi-Res certification",No,Intel Core i7,3 GHz Turbo Boost Upto 4.7 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,,,1 TB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents",90 WHrs Li-ion Battery,,,,,,,,,,,China,,,,,,,,,,,,
100,MSI,"₹64,490",Core i7,11800H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,2 years Warranty,"IPS-Level Display (with 60 Hz Refresh Rate, 100% sRGB)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,6,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,3-in-1 Card Reader,Yes,,Yes,"Red , Yes",Yes,Yes,Built-in Microphone,Built-in Dual Speakers,,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA Geforce RTX 3050,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,3 cell Cell Battery,"Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","Laptop, Battery, Power Adapter, User Guide",Li-ion Battery,,,,,Intel,,,,,,,,,,,,,,,,,,
101,MSI,"₹83,990",Core i5,12500H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 259 x 25 mm,2.6 kg,2 years Warranty,"Full HD IPS Display, 144Hz",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,45% NTSC Color Gamut,Yes,Wi-Fi 6 ,v5.2,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0 Port,,Yes,Yes,Yes,Single backlight KB(Blue),Yes,Yes,Yes,Stereo Speakers,,No,Intel Core i5, Turbo Boost Upto 4.5 GHz,18 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX RTX3050,GDDR6 4 GB,16 GB DDR4,3200 MHz,,1 TB,,3 Cell Cell Battery,,"Laptop, Power Adapter, Manual",,,,,,,,Upto null hours,,,,,,,,,,,,,,,,
102,HP,"₹1,08,990",Core i7,11800H,Gaming,Netbook,Windows 11 Home (64-bit),370 x 260 x 23.5 mm,2.46 kg,1 year Onsite Warranty,"IPS, 144Hz",No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,"Low Blue Light, 300 nits Brightness, 100% sRGB Color Gamut",,Intel Wi-Fi 6 AX201,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.1 Port,1 x multi-format SD media card reader,Yes,Yes,Yes,Full-size,Yes,Yes,integrated Dual Array Digital Microphones,Dual speakers,Audio by Bang & Olufsen,No,Intel Core i7,"4.6 Hz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX RTX 3060,GDDR6 6 GB,16 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,"Laptop, battery, Power adapter, warranty document, user guide, USB Ethernet adapter",70 Wh Li-ion polymer,,,,,,,,,200 W Smart AC Power Adapter,,,,,,,,,,,,,,
103,Asus,"₹77,590",Ryzen 7 ,4800H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,,No,15.6 inches,1080 x 1920 pixels,~ 141,Yes,,No,Yes,Yes,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI Port,Yes,Yes,Yes,Yes,,,Yes,Yes,,,No,AMD Ryzen 7 ,"2.9 GHz, Dual Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce RTX3050,DDR4 4 GB,16 GB DDR4,,,512 GB,,,,"Laptop, Manual, Adaptor",,,,,,,,Upto 4 hours,,,,,,,,,,,,,,,,
104,Dell,"₹85,000",Core i5,12500H,Gaming,Netbook,Windows 11 Home (64-bit),357 x 272 x 26.9 mm,2.57 kg,1 year Warranty,Full HD WVA AG 120Hz 250 nits Narrow Border,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,Available,Intel Wi-Fi 6 AX201 (2x2),v5.1,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.1 Port,,Yes,,Yes,"4 Zone RGB, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,Intel Core i5,3.3 GHz,18,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR5,4800 MHz,,512 GB,,3 Cell Battery,,"Laptop, battery, adapter, cables and user manuals",56 WHr,,,,,,,Upto 10 hours,,,,,,,,,,,,,,,,
105,Asus,"₹53,990",Core i5,10300H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 256 x 24.9 mm,2.3 kg,1 year Onsite Warranty,"Full HD LED Backlit, IPS Display",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB",10/100/1000,Yes,Yes,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI v2.0b Port,,Yes,Yes,Yes,"RGB Backlit Chiclet English Keyboard, Yes",Yes,Precision Touchpad with Multi-Gesture Support,Built-in Array Microphone,Built in Speakers,DTS software,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,2933 MHz,,512 GB,,3 Cell Battery,"Windows 11 Home, Ms-Office Home & Student 2019","Laptop, Power Adaptor, User Guide, Warranty Documents",Military Grade Durability,,,Kensington Lock Port,2,Mobile Intel HM470 Express Chipsets,,Upto 5 hours,,150 W AC Adapter,,,,,,,,,,,,,,
106,Lenovo,"₹62,490",Core i5,11300H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,2.25 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120 Hz Refresh Rate, 250nits Anti-glare, 45% NTSC, DC dimmer",Integrated 100/1000 Gigabit Ethernet LAN,IEEE 802.11a/b/g/n/ac/ax,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,Yes,Yes,White Backlit English Keyboard,Yes,Yes,2x Array Microphones,Dual Speakers,"High Definition (HD) Audio, Realtek ALC3287 Codec, Nahimic Audio",No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA ,11th Gen,NVIDIA GeForce RTX 3050 Graphics,GDDR6 4 GB,8 GB DDR4,3200 MHz,Upto 16 GB,512 GB,,,,,,,,,2,,,,16:09,170W Power Adapter,,,,,,,,,,,,,,
