,Laptop Brand,Price,Country of Origin,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Aspect Ratio,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Fingerprint Sensor,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,RAM,Solid State Drive,Sales Package,Security Lock Port,Chipset,Dedicated Memory,Maximum RAM Supported,Battery,Adapter Type,Other Features,USB Port Details,Battery Backup,RAM Slots,Hard Disk Capacity,Hard Disk Speed,Hard Disk Interface,Card Reader,RAM Bus Speed,Included Software,Thunderbolt,Optane Memory,Rear Camera,GPU Clock Speed,VGA,Optical Drive Speed
92,Asus,"₹73,990",,Core i5,11400H,Gaming,Netbook,Windows 10 Home (64-bit),399 x 269 x 23 mm,2.6 kg,1 year Onsite Warranty,IPS ,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,"Full HD IPS Display (250 nits Brightness, 45% NTSC Color Gamut, 62.5% SRGB, 47.34% Adobe, 800:1 Contrast)",10/100/1000,Wi-Fi 6 (802.11ax) Dual Band (2x2),v5.2,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0b Port,,Yes,Yes,Yes,"Backlit Chiclet Keyboard RGB, Yes",Yes,Yes,Built-in Array microphone,2 x 2 W Speaker,AI mic noise-canceling DTS software,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,8 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock,Intel HM570 Express Chipsets,GDDR6 4 GB,Upto 32 GB,4 Cell Battery,"180 W AC Adapter
","90 WHr Li-ion Battery, BIOS Administrator Password and User Password Protection, Upto 1600 MHz at 60W (75W with Dynamic Boost), Viewing Angle 85/85/85/85",,,2,,,,,,,,,,,,
93,Asus,"₹88,990",,Core i5,11400H,Gaming,Netbook,"‎Windows 10 Home
 (64-bit)",359 x 256 x 24 mm,2.3 kg,1 year Onsite Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,Yes,,No,802.11ax,Yes,3 x USB 3.0,1 x HDMI Port,,Yes,Yes,Yes,,Yes,Yes,Yes,"‎2x 2W Speaker
",,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA ,11th Gen,‎NVIDIA GeForce RTX 3060,16 GB DDR4 ,512 GB,"‎Laptop, AC Adapter, User Guide, Manuals
",,,GDDR6 6 GB,Upto 32 GB,4 Cell Battery,,,,Upto 7 hours,2,,,,Yes,3200 MHz,,,,,,,
94,Asus,"₹63,990",,Core i5,10300H ,Gaming,Netbook,Windows 10 Home (64-bit),359 x 256 x 25 mm,2.3 kg,1 year Onsite Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,Yes,144Hz Refresh Rate,,802.11ax,Yes,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,,Yes,Yes,Yes,,,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA ,10th Gen,NVIDIA GeForce GTX 1650 Ti,8 GB DDR4,512 GB,"Laptop, AC Adapter, User Guide, Manuals",,,GDDR6  4 GB,Upto 32 GB,,,,,,2,,,,,2933 MHz,,,,,,,
95,HP,"₹95,390",,Ryzen 7,5800H ,Gaming,Netbook,Windows 10 Home (64-bit),370 x 262 x 24 mm,2.48 kg,1 year Warranty,IPS,No,16.1 inches,1920 x 1080 pixels,~ 137,16:9,Yes,"144 Hz Refresh Rate, Low Blue Light","Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI 1.4 Port,,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad
",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050Ti ,16 GB DDR4,512 GB,"‎Laptop, Power Adapter
",,,GDDR6  4 GB,Upto 32 GB,4 Cell Battery,"150 W Smart AC power adapter
",,,,2 (1 Unused Slot),,,,"multi-format SD Media Card reader
",3200 MHz,,,,,,,
96,HP,"₹72,290",,Ryzen 5 ,5600H ,Gaming,Netbook,Windows 10 Home (64-bit),370 x 262 x 24 mm,2.48 kg,1 year Warranty,IPS,No,16.1 inches,1920 x 1080 pixels,~ 137,16:9,Yes,,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI 1.4 Port,,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad
",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 3050 ,8 GB DDR4,512 GB,"‎Laptop, Power Adapter
",,,GDDR6  4 GB,Upto 32 GB,4 Cell Battery,"150 W Smart AC power adapter
",,,,2 (1 Unused Slot),,,,"multi-format SD Media Card reader
",3200 MHz,,,,,,,
97,Acer,"₹84,990",,Core i5,11300H,Gaming,Netbook,Windows 10 Home (64-bit),363 x 255 x 23.9 mm,2.2 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,Yes,"144 Hz Refresh Rate, Acer ComfyView LED-backlit TFT LCD Narrow Bezels Display, Smooth, Blur-free Gameplay, 80 Percent Screen-to-Body Ratio",,IEEE 802.11a/b/g/n/ac/ax,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,RGB-Backlit Keyboard,Yes,Multi-Gesture Touchpad,Yes,Stereo Speakers,,No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA ,11th Gen,NVIDIA GeForce GTX 1650,16 GB DDR4,512 GB,,,,GDDR6 4 GB,Upto 32 GB,,,"Supporting Two-Finger Scroll, Pinch, Gestures to Open Cortana, Action Center, Multitasking, Application Commands
",,,2,,,,,3200 MHz,,,,,,,
98,Acer,"₹98,500",,Core i7,11370H ,Gaming,Netbook,Windows 10 Home (64-bit),363 x 255 x 24 mm,2.2 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,Yes,"144 Hz Refresh Rate, Acer ComfyView LED-backlit TFT LCD Narrow Bezels Display, Smooth, Blur-free Gameplay, 80 Percent Screen-to-Body Ratio",,IEEE 802.11a/b/g/n/ac/ax,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,RGB-Backlit Keyboard,Yes,Multi-Gesture Touchpad,Yes,Stereo Speakers,,No,Intel Core i7,"3.3 GHz, Quad Core Turbo Boost Upto 4.8 GHz",12 MB,NVIDIA ,11th Gen,NVIDIA GeForce GTX 1650,8 GB DDR4,1 TB,"‎Battery, Laptop, Adaptor
",,,GDDR6 4 GB,Upto 32 GB,,,"Supporting Two-Finger Scroll, Pinch, Gestures to Open Cortana, Action Center, Multitasking, Application Commands
",,,2,,,,,3200 MHz,,,,,,,
99,Asus,"₹81,990",,Core i5,11400H ,Gaming,Netbook,"‎Windows 10 Home
 (64-bit)",,2.5 kg,1 year Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 127,16:9,Yes,FHD 144Hz Display,No,Yes,Yes,2 x USB 3.0,1 x HDMI Port,,Yes,Yes,Yes,Backlit One Zone RGB Keyboard,Yes,Yes,Yes,Built-in Speakers,,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA ,11th Gen,NVIDIA GeForce RTX 3050,8 GB,1 TB,"Main Unit, Charging Cable, Charging Adapter
",,,GDDR5 4 GB,,3 Cell Battery,,,,,,,,,Yes,,,,,,,,
100,Asus,"₹1,65,980",,Ryzen 9 ,5980HS,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),299 x 222 x 15.8 mm,1.3 kg,1 year Onsite Warranty,LED ,Yes,13.4 inches,1920 x 1080 pixels,~ 338,16:10,Yes,"WQUXGA LED Backlit LCD Glossy IPS-Level Touch Display with Adaptive Sync (60 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 82% NTSC Color Gamut, 116% sRGB, 86% Adobe, 85% DCI-P3, Pantone Validated)",No,Wi-Fi 6 (802.11ax) Dual Band (2x2),v5.1,"2 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0b Port,Yes,Yes,Yes,Yes,"Backlit Chiclet Keyboard, Yes",Yes,Yes,Built-in Array Microphone,2 x 1 W Speaker with Smart Amp Technology,"Smart Amp Technology, DAC, Dolby Atmos Software, AI Mic Noise-Canceling",No,AMD Ryzen 9 ,"3 GHz, Octa Core Turbo Boost Upto 4.8 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,32 GB LPDDR4X,1 TB,"Laptop, TYPE-C Power Adaptor, User Guide, Warranty Documents, GV301 sleeve bag, Pen",,,GDDR6 4 GB,Upto 16 GB,4 Cell Battery,100 W AC Adapter,"62 WHr Li-ion Battery, BIOS Administrator Password, User Password Protection, Adaptive-Sync, Viewing Angle 89/89/89/89",,,2,,,,,4266 MHz,Office Home and Student 2019,,,,,,
101,Asus,"₹79,890",,Core i5,11400H ,Gaming,Netbook,"‎Windows 10 Home
 (64-bit)",399 x 269 x 24 mm,2.6 kg,1 year Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 127,16:9,Yes,FHD 144Hz Display,No,Yes,Yes,2 x USB 3.0,1 x HDMI Port,,Yes,Yes,Yes,Backlit One Zone RGB Keyboard,Yes,Yes,Yes,Built-in Speakers,,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA ,11th Gen,NVIDIA GeForce RTX 3050,8 GB,512 GB,"Main Unit, Charging Cable, Charging Adapter
",,,GDDR5 4 GB,,3 Cell Battery,,,,,,,,,Yes,,,,,,,,
