,Laptop Brand,Price,Country of Origin,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Aspect Ratio,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Fingerprint Sensor,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,RAM,Solid State Drive,Sales Package,Security Lock Port,Chipset,Dedicated Memory,Maximum RAM Supported,Battery,Adapter Type,Other Features,USB Port Details,Battery Backup,RAM Slots,Hard Disk Capacity,Hard Disk Speed,Hard Disk Interface,Card Reader,RAM Bus Speed,Included Software,Thunderbolt,Optane Memory,Rear Camera,GPU Clock Speed,VGA,Optical Drive Speed
0,Asus,"₹46,990",China,Ryzen 5,5600H,Gaming,Netbook,Windows 11 Home (64-bit),358 x 248 x 20 mm,1.8 kg,1 year Onsite Warranty,IPS,No,16 inches,1200 x 1920 pixels,~ 283,16:10,Yes,300nit Brightness,No,Wi-Fi 6(802.11ax),v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 1.4 Port,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Built-in Speaker,harman/kardon (Mainstream),No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,AMD,5th Gen,AMD Radeon Vega 7,8 GB DDR4,512 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,,,,,,,,,,,,,,,,,,,,
1,Asus,"₹1,29,990",,Core i7,10750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 252 x 19.9 mm,1.9 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,Yes,4K,10/100/1000 Mbps,IEEE 802.11ax (Wi-Fi 6),v5.1,"1 x USB Type-C, 1 x USB 3.0, 3 x USB 2.0",1 x HDMI v2.0b Port,,Yes,Yes,No,"Chiclet Backlit RGB Keyboard, Yes",Yes,Yes,Built-in Array Microphone,Built-in Speaker,"ESS, Smart Amp Technology",No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1660 Ti,16 GB DDR4,1 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock,Intel HM470,GDDR6 6 GB,Upto 24 GB,4 Cell Battery,230 W AC Adapter,"76 WHrs Li-ion Battery, BIOS Administrator Password and User Password Protection",,,,,,,,,,,,,,,
2,Acer,"₹58,990",,Ryzen 5 ,5600H,Gaming,Netbook,Windows 11 Home (64-bit),363.4 x 255 x 23.9 mm,2.2 kg,1 year Warranty,LED-backlit TFT LCD,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,Acer ComfyViewTM ,,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0 Port,,Yes,,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, international language support",Yes,Yes,Yes,Built-in Speakers,,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Yes,,GDDR6 4 GB,,,,,"2 x USB 3.2 Gen 1 Ports, 1 x USB 3.2 Gen 2 Port with power-off charging, 1 x USB Type-C Port",Upto 5.5 hours,,,,,,,,,,,,,
3,Asus,"₹61,500",,Ryzen 5,5600H,Gaming,Netbook,Windows 11 Home (64-bit),358 x 248 x 20 mm,1.8 kg,1 year Onsite Warranty,IPS,No,16 inches,1200 x 1920 pixels,~ 283,16:10,Yes,300nit Brightness,No,Wi-Fi 6(802.11ax),v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 1.4 Port,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Built-in Speaker,harman/kardon (Mainstream),No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,AMD,5th Gen,AMD Radeon Vega 7,16 GB DDR4,512 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,,,,,,,,,,,,,,,,,,,,
4,Asus,"₹67,336",,Core i7,10870H,Gaming,Netbook,Windows 10 Home Basic (64-bit),359 x 256 x 24.9 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Display,,802.11 b/g/n/ax,v5.1,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0b Port,,Yes,Yes,Yes,Gaming RGB Keyboard,Yes,Multi-Touch Gestures Enabled,Built-in Microphone,Built-in Speakers,,No,Intel Core i7-10870H ,"2.2 GHz, Octa Core Turbo Boost Upto 5 GHz",16 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650 Ti,16 GB DDR4,256 GB,,Yes,,4 GB,,3 Cell Battery,,,,,1,1 TB,5400 RPM,SATA,,,,,,,,,
5,MSI,"₹4,99,990",,Core i9,12900HX,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),397 x 330 x 23 mm,3.3 kg,2 years Warranty,UHD,No,17.3 inches,3840 x 2160 pixels,~ 255,,Yes,"120Hz, IPS-Level",Killer Gb LAN (Up to 2.5G),"Killer ax Wi-Fi 6E, Killer ax Wi-Fi 6E",v5.2,"2 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,,Yes,Cherry Mechanical Per-Key RGB Gaming Keyboard by SteelSeries,Yes,Yes,1x Mic-in/Headphone-out Combo Jack,2x 2W Woofer|2x 2W Speaker,,No,Intel Core i9,"3.3 GHz, 16 Core Turbo Boost Upto 5 GHz",30 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3080Ti,64 GB DDR5,2 TB,"Laptop, Adapter, MSI Gaming Mouse M99, MSI Dual Drive 128GB + MSI Lucky Figure Keychain_Black",,Intel® HM670,GDDR6 16 GB,,4 Cell Battery,,,,,,,,,1x SD Express Card Reader,4800 MHz,,,,,,,
6,Asus,"₹77,898",,Ryzen 7 ,4800H,Gaming,Netbook,Windows 10 Home (64-bit),399 x 268 x 23.3 mm,2.6 kg,1 year Onsite Warranty,FHD,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,"Brightness: 250nits, Contrast: 1:800, 45% NTSC, 62.5% SRGB, Display, Refresh Rate: 144 Hz, Adobe: 47.34%",10/100/1000,Wi-Fi 6(802.11ax),v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,Yes,"Backlit Chiclet Keyboard RGB, Yes",Yes,Yes,Built-in array microphone,Built-in Dual Speakers,2-speaker system,No,AMD Ryzen 7 ,"4.2 GHz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce RTX 3050,16 GB DDR4,512 GB,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",Kensington Security Slot,,GDDR6 4 GB,,4 Cell Battery,180 W AC Adapter,"90WHrs, Li-ion",,,,,,,,3200 MHz,,,,,,,
7,HP,"₹49,990",,Ryzen 7 ,3750H,"Gaming, Performance",Netbook,Windows 10 (64-bit),360 x 256 x 23.4 mm,2.19 kg,1 year Onsite Warranty,Full HD LED Backlit Micro Edge IPS Display (With 60 Hz Refresh Rate),No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,,Integrated 10/100/1000 Gigabit LAN,Realtek Wi-Fi 5 (2x2),v5,"1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",1 x HDMI v2.0 Port,,Yes,,Yes,"Full Size Island Style Ultra Violet , Yes",Yes,Multi Gesture Touchpad,Dual Array Digital Microphone,Built-in Dual Speakers,"Bang and Olufsen Play with DTS Studio Sound, HP Audio Boost 1.0",No,AMD Ryzen 7 ,"2.3 GHz, Quad Core Turbo Boost Upto 4 GHz",4 MB,NVIDIA,3rd Gen,Geforce GTX 1660 Ti with Max-Q,8 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 6 GB,,3 Cell Battery,,Li-ion Battery with Fast Charge Support,,,2,1 TB,7200 RPM,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2400 MHz,"HP JumpStart, HP Support Assistant, HP Connection Optimizer",,,,,,
8,Asus,"₹47,494",,Core i7,8750H,Gaming,Netbook,Windows 10 Home Basic (64-bit),400 x 350 x 100 mm,2.1 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,Full HD LED Backlit IPS Display,,802.11 a/b/g/n/ac,v4.1,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Standard Notebook Keyboard,,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,Intel Core i7-8750H ,"2.2 GHz, Hexa Core Turbo Boost Upto 3.9 GHz",9 MB,NVIDIA,8th Gen,NVIDIA GeForce GTX 1050Ti,8 GB DDR4,256 GB,,,Intel HM370 Express,4 GB,Upto 32 GB,3 Cell Battery,,,,,1,1 TB,5400 RPM,SATA,Yes,2666 MHz,,,,,,,
9,Acer,"₹6,99,999",,Core i7,7820HK,Gaming,,Windows 10 Home (64-bit),568 x 314.5 x 83.25 mm,8.5 kg,1 Year International Travelers Warranty (ITW),Wide Full HD LED Backlit Curved IPS Display with G-Sync Support,No,21 inches,2560 x 1080 pixels,~ 132,2.37,No,,"Gigabit Ethernet, Wake-on-LAN Ready (Killer Ethernet E2500)",IEEE 802.11a/b/g/n/ac,v4.1,"2 x USB 3.0, 2 x USB 2.0",1 x HDMI Port,,,,"HD Webcam, 0.92 MP",Full-size Cherry MX RGB Mechanical Keyboard,,Multi Gesture Touchpad,Built-in Microphone,Built-in Speakers,"6 Built-in Stereo Speakers for 3 Way Audio System, Acer TrueHarmony Technology, Acer Purified Voice Technology, Optimized Dolby Audio Premium Sound Enhancement",No,Intel Core i7 7th Gen 7820HK,2.9 GHz Turbo Boost Upto 3.9 GHz,8 MB,NVIDIA,7th Gen,NVIDIA Geforce GTX 1080 SLI,64 GB DDR4,,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,Intel CM238,GDDR5 16 GB,,8 Cell Battery,330 W AC Adapter,,,Upto 1.2 hours,4,1 TB,7200 RPM,,SD Card Reader,,"Acer Care Center, Acer Configuration Manager, Quick Access",,,,,,
10,Acer,"₹70,990",,Ryzen 5 ,5600H,Gaming,Netbook,Windows 11 Home (64-bit),363.4 x 255 x 23.9 mm,2.2 kg,1 year Warranty,LED-backlit TFT LCD,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,Acer ComfyViewTM ,,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0 Port,,Yes,,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, international language support",Yes,Yes,Yes,Built-in Speakers,,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Yes,,GDDR6 4 GB,,,,,"2 x USB 3.2 Gen 1 Ports, 1 x USB 3.2 Gen 2 Port with power-off charging, 1 x USB Type-C Port",Upto 5.5 hours,,1 TB,,,,,,,,,,,
11,Acer,"₹66,990",,Ryzen 5 ,5600H,Gaming,Netbook,Windows 11 Home (64-bit),363.4 x 255 x 23.9 mm,2.2 kg,1 year Warranty,LED-backlit TFT LCD,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,Acer ComfyViewTM ,,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0 Port,,Yes,,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, international language support",Yes,Yes,Yes,Built-in Speakers,,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,8 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Yes,,GDDR6 4 GB,,,,,"2 x USB 3.2 Gen 1 Ports, 1 x USB 3.2 Gen 2 Port with power-off charging, 1 x USB Type-C Port",Upto 5.5 hours,,1 TB,,,,,,,,,,,
12,Lenovo,"₹2,24,513",,Core i7,12700H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,WQXGA,No,16 inches,2560 x 1600 pixels,~ 184,16:10,Yes,"165 Hz Refresh Rate, 100% sRGB",,"11ax, 2x2",v5.1,"2 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,"Backlit, English, Yes",Yes,Yes,Yes,,,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070Ti,32 GB DDR5,1 TB,"Laptop, Power Adapter, User Guide, Warranty Documents",,,GDDR6 8 GB,Upto 32 GB,3 Cell Battery,,,,,,,,,,4800 MHz,,Yes,,,,,
13,Lenovo,"₹67,490",,Core i5,11300H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,2.25 kg,1 year Warranty,"Full HD, IPS, 250nits ",No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Refresh Rate: 120 Hz, 45% NTSC, DC dimmer",100/1000M,Wi-Fi 6 (802.11ax) 2 x 2,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphone,Built-in Dual Stereo speakers,Nahimic Audio,No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,8 GB DDR4,256 GB,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",,Intel SoC Platform,GDDR6 4 GB,,,,,,Upto 8 hours,2,1 TB,,,,3200 MHz,,,,,,,
14,Lenovo,"₹69,990",,Ryzen 5 ,5600H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 249.6 x 24.9 mm,2.4 kg,1 year Onsite Warranty,Full HD LED Backlit IPS Display ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"250 nits Brightness, 60 Hz Refresh Rate",100/1000 Mbps,IEEE 802.11ac (2x2),v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,"English Blue LED , Yes",Yes,Multi-touch Touchpad,Integrated Dual Array Microphone,Built-in Dual Speakers,2 x 1.5 W Stereo Speakers with Dolby Audio,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650 ,8 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,AMD SoC,GDDR6 4 GB,Upto 32 GB,,,45 WHr Li-ion Battery,,Upto 6.5 hours,2,,,,,3200 MHz,,,,,,,
15,Dell,"₹3,91,800",,Core i9,12900HK,Gaming,Netbook,Windows 11 (64-bit),,2.34 kg,1 year Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 141,,Yes,360Hz,,802.11ax,v5.2,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.1 Port,,Yes,Yes,Yes,,Yes,Yes,Yes,,,No,Intel Core i9,14 Core Turbo Boost Upto 5 GHz,24 MB,NVIDIA ,,NVIDIA GEFORCE RTX 3080 Ti,32 GB LPDDR5,1 TB,,,,GDDR6 16 GB,,,240W Small Form Factor adapter,"Alienware Battery Defender Technology, Per-key AlienFX Lighting, Alienware Cryotech Cooling Tech, Quad Fan Design, Alienware’s HyperEfficient Voltage",,Upto 6 hours,2,,,,Micro SD,4800 MHz,,2x,,,,,
16,Asus,"₹1,21,990",,Ryzen 9 ,5900HX,Gaming,Netbook,Windows 10 Home (64-bit),354 x 259 x 20.7 mm,2.1 kg,1 year Onsite Warranty,FHD,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Brightness: 250nits, Contrast: 1:1000, 45% NTSC, 62.5% SRGB, Display, Refresh Rate: 144 Hz, Adobe: 47.34%",10/100/1000,Wi-Fi 6(802.11ax),v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard 4-Zone RGB, Yes",Yes,Yes,Built-in array microphone,Built-in Dual Speakers,2x 1.5W speaker,No,AMD Ryzen 9 ,"4.6 GHz, Octa Core Turbo Boost Upto 4.6 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,16 GB DDR4,1 TB,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",,,GDDR6 4 GB,Upto 32 GB,4 Cell Battery,"200 W AC Adapter
","56WHrs, Li-ion",,,,,,,,3200 MHz,,,,,,,
17,Acer,"₹1,37,990",,Ryzen 9 ,5900HX,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),363.4 x 255 x 23.9 mm,2.4 kg,1 year Warranty,QHD,No,15.6 inches,2560 x 1440 pixels,~ 188,16:9,Yes,"165 Hz,  sRGB 100%",,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, Yes",Yes,Touchpad with Multi-touch Gesture Support,Built-in Dual Microphone,Built-in Dual Speakers,"DTS X:Ultra Audio, featuring optimized Bass, Loudness, Speaker Protection with up to 6 custom content modes by smart amplifier | Supported in Windows Spatial Sound for PC Gaming with DTS license integrated | Acer Purified. Voice technology with dual built-in microphones | Compatible with Cortana with Voice | Acer TrueHarmony technology for lower distortion, wider frequency range, headphone-like audio and powerful sound",No,AMD Ryzen 9 ,"3.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3070,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 8 GB,,4 Cell Battery,,,,,,1 TB,,,Yes,,"Acer Care Center, Acer Product Registration, NitroSense, Quick Access",Yes,,,,,
18,Asus,"₹2,64,990",,Core i9,12900H,Gaming,Netbook,Windows 11 Home (64-bit),354 x 259 x 27.2 mm,2.3 kg,1 year Onsite Warranty,WQHD,No,15.6 inches,2560 x 1440 pixels,~ 188,,Yes,"Refresh Rate 240Hz, Response Time (G2G) 3ms, Viewing Angle 85/85/85/85, IPS-level, Brightness 300, display",10/100/1000/2500 Mbps,Wi-Fi 6E(802.11ax),v5.2,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.1 Port,,Yes,Yes,No,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Yes,Smart Amplifier Technology,Built-in Speaker,,No,Intel Core i9,"1.8 GHz, 14 Core Turbo Boost Upto 5 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070 Ti,32 GB DDR5,2 TB,"Laptop, battery, adapter, cables and user manuals",,,GDDR6 16 GB,,4 Cell Battery,,90 Whrs Li-ion polymer Battery,,,,,,,,,Office Home and Student,Yes,,,,,
19,Asus,"₹4,20,990",,Core i9,12950HX,Gaming,Netbook,Windows 11 Home (64-bit),395 x 282 x 28.3 mm,3 kg,1 year Onsite Warranty,"WQHD, IPS-level",No,17.3 inches,2560 x 1440 pixels,~ 170,,Yes,240Hz,10/100/1000/2500 Mbps,Wi-Fi 6E(802.11ax) Dual band) 2x2,v5.2,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.1 Port,,Yes,,No,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Yes,Built-in array microphone,4 Speaker System,Smart Amplifier Technology,No,Intel Core i9,16 Core Turbo Boost Upto 5 GHz,30,NVIDIA,12th Gen,NVIDIA GeForce RTX 3080Ti,32 GB DDR5,4 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Yes,,GDDR6 16 GB,,4 Cell Battery,,"90WHrs, 4S1P, Li-ion Battery",,,2,,,,,4800 MHz,,Yes,,,,,
20,Asus,"₹1,69,990",,Ryzen 9 ,6900HS​,Gaming,Netbook,Windows 11 Home (64-bit),312 x 195 x 22.7 mm,1.72 kg,1 year Onsite Warranty,"QHD+, WQXGA, Backlit LCD",No,14 inches,2560 x 1600 pixels,~ 216,16:10,Yes,120Hz,No,Wi-Fi 6E(802.11ax) Dual band) 2x2,v5.2,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Yes,Built-in 3 array-microphone,4-Speaker System,Smart Amplifier Technology,No,AMD Ryzen 9 ,"3.3 GHz, Octa Core Turbo Boost Upto 4.9 GHz",16 MB,AMD,6th Gen,AMD Radeon RX 6700S,16 GB DDR5,1 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 8 GB,,4 Cell Battery,,"76WHrs, 4S1P, Li-ion Battery",,,,,,,1x card reader (microSD),4800 MHz,,Yes,,,,,
21,Dell,"₹1,59,990",,Core i7,12700H,Gaming,Netbook,Windows 11 Home (64-bit),357 x 272 x 26.9 mm,2.57 kg,1 year Warranty,240Hz ,No,15.6 inches,2560 x 1440 pixels,~ 188,,Yes,,Available,Killer Wi-Fi 6 AX1650 (2x2),v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.1 Port,,Yes,,Yes,"4 Zone RGB, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070 Ti,16 GB DDR5,1 TB,"Laptop, battery, adapter, cables and user manuals",,,GDDR6 8 GB,,6 Cell Battery,,86 WHr,,Upto 10 hours,,,,,,4800 MHz,,,,,,,
22,Asus,"₹3,59,990",,Core i9,12950HX,Gaming,Netbook,Windows 11 Home (64-bit),395 x 282 x 28.3 mm,3 kg,1 year Onsite Warranty,"WQHD, IPS-level",No,17.3 inches,2560 x 1440 pixels,~ 170,,Yes,,10/100/1000/2500 Mbps,Wi-Fi 6E(802.11ax) Dual band) 2x2,v5.2,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.1 Port,,Yes,,No,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Yes,Built-in array microphone,4 Speaker System,Smart Amplifier Technology,No,Intel Core i9,16 Core Turbo Boost Upto 5 GHz,30,NVIDIA,12th Gen,NVIDIA GeForce RTX 3080 Ti,32 GB DDR5,2 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Yes,,GDDR6 16 GB,,4 Cell Battery,,"90WHrs, 4S1P, Li-ion Battery",,,2,,,,,4800 MHz,,Yes,,,,,
23,Gigabyte,"₹1,27,990",,Core i7,12700H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),357 x 254 x 23.9 mm,2.3 kg,2 years Warranty,QHD ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,240Hz DCI-P3 100% typical,Yes,Intel Wi-Fi 6 AX201(2x2 ax),Yes,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.1 Port,,Yes,Yes,Yes,RGB Gaming Keyboard,Yes,Yes,Yes,Built-in Dual Speakers,,No,Intel Core i7,"3 GHz, Octa Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,16 GB DDR4,1 TB,"Laptop, battery, power adapter, user guide, Laptop Bag",,,GDDR6 6 GB,Upto 64 GB,,,,,Upto 6 hours,,,,,Yes,3200 MHz,,Yes,,,,,
24,Dell,"₹2,94,990",,Core i7,12700H,"Gaming, Performance",Netbook,Windows 11 (64-bit),374.48 x 2488 x 19.54 mm,2.17 kg,1 year Warranty,4K Ultra HD,Yes,17 inches,3840 x 2400 pixels,~ 266,,Yes,"4K Ultra HD+ Infinity Edge, Anti Reflective Touch Display (500 nits Brightness)",No,Killer Wi-Fi 6 AX1650,v5,4 x USB Type-C,,Yes,Yes,Yes,Yes,"Standard English , Yes",Yes,Yes,Built-In Microphone,In-Built Speakers,Waves Maxx Audio Pro,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,16 GB DDR5,1 TB,"Laptop, Battery, Adapter, Cables and User Manuals",Kensington Lock Port,,GDDR6 6 GB,,6 Cell Battery,,,,Upto 13 hours,2,,,,1 x SD-card Slot,4800 MHz,,Yes,,,,,
25,Dell,"₹2,44,770",,Core i9,12900HK,"Gaming, Performance",Netbook,Windows 11 (64-bit),374.48 x 2488 x 19.54 mm,2.17 kg,1 year Warranty,4K Ultra HD,Yes,17 inches,3840 x 2400 pixels,~ 266,,Yes,"4K Ultra HD+ Infinity Edge, Anti Reflective Touch Display (500 nits Brightness)",No,Killer Wi-Fi 6 AX1650,v5,4 x USB Type-C,,Yes,Yes,Yes,Yes,"Standard English , Yes",Yes,Yes,Built-In Microphone,In-Built Speakers,Waves Maxx Audio Pro,No,Intel Core i9,14 Core Turbo Boost Upto 5 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,32 GB DDR5,1 TB,"Laptop, Battery, Adapter, Cables and User Manuals",Kensington Lock Port,,GDDR6 6 GB,,6 Cell Battery,,,,Upto 13 hours,2,,,,1 x SD-card Slot,4800 MHz,,Yes,,,,,
26,Acer,"₹59,990",,Ryzen 5 ,5500U,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),363.4 x 254.5 x 22.9 mm,2.15 kg,1 year Warranty,TFT LCD,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,Yes,45% NTSC color gamut,Gigabit Ethernet,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,,Yes,103- 104- 107-key FineTip,Yes,Touchpad with Multi-touch Gesture Support,Built-in Dual Microphone,Two built-in stereo speakers,,No,AMD Ryzen 5 ,"2.1 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 4 GB,,3 Cell Battery,,,,Upto 11.5 hours,,,,,,,"Acer Care Center, Acer Product Registration, Quick Access, Acer Care Center",,,,,,
