Laptop Brand,Price,Series,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,HDMI,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Inbuilt Microphone,Speakers,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,Solid State Drive,Battery,Sales Package,USB Type-C,USB 3.0,USB 2.0
Dell,12767851.8,Core i5,Netbook,Windows 11 Home,357 x 272 x 24.9 mm,2.65 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD 120Hz 250 nits WVA LED Backlit Narrow Border Display,,1 x HDMI 2.0 Port,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Yes,No,Intel Core i5,"2.6 GHz, Octa Core",12,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, battery, adapter, cables and user manuals",3,4,2
Lenovo,10766016.450000001,Core i5,Netbook,Windows 11 Home,360 x 252 x 24 mm,2.25 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120 Hz Refresh Rate, 250nits Anti-glare, 45% NTSC, DC dimmer",Integrated 100/1000 Gigabit Ethernet LAN,1 x HDMI 2.0 Port,Yes,Yes,Yes,White Backlit English Keyboard,Yes,2x Array Microphones,Dual Speakers,No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650 ,GDDR6 4 GB,8 GB DDR4,512 GB,,,1,2,0
Lenovo,9804600.0,Core i5,Netbook,Windows 11 Home,360 x 252 x 24 mm,2.25 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120 Hz Refresh Rate, 250nits Anti-glare, 45% NTSC, DC dimmer",Integrated 100/1000 Gigabit Ethernet LAN,1 x HDMI 2.0 Port,Yes,Yes,Yes,English Keyboard,Yes,2x Array Microphones,Dual Speakers,No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650 ,GDDR6 4 GB,8 GB DDR4,512 GB,,,1,2,0
Acer,11311114.5,Core i5,Netbook,Windows 11 Home,363 x 255 x 23.9 mm,2.2 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144 Hz Refresh Rate, Acer ComfyView LED-backlit TFT LCD Narrow Bezels Display, Smooth, Blur-free Gameplay, 80 Percent Screen-to-Body Ratio",,1 x HDMI Port,Yes,Yes,Yes,RGB-Backlit Keyboard,Yes,Yes,Stereo Speakers,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,16 GB DDR4,512 GB,,,1,3,0
Acer,11499664.5,Core i5,Netbook,Windows 11 Home,362.9 x 237.8 x 17.9 mm,1.8 kg,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,1 x HDMI Port,Yes,,Yes,"99- 100- 103-key Acer , Yes",Yes,Built-in Dual Microphone,Two Built-in Stereo Speakers,No,Intel Core i5,12 Core Turbo Boost Upto 4.4 GHz,12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 2050,GDDR6 4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",2,2,0
HP,13296734.55,Core i5,Netbook,Windows 11 Home,,,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",1 x HDMI 1.4 Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,4 GB,8 GB DDR4,512 GB,4 Cell Battery,,1,1,0
ASUS,9991264.5,Ryzen 5 ,Netbook,Windows 11 Home,399 x 268 x 24.8 mm,2.6 kg,1,"FHD, Value IPS-level, display",No,17.3 inches,1920 x 1080 pixels,~ 127,Yes,"Brightness 250nits, NTSC 45% SRGB 62.5% ",10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Built-in array microphone,Dual Speakers,No,AMD Ryzen 5,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",1,3,0
MSI,9425614.5,Core i5,Netbook,Windows 10 Home,359 x 254 x 21.7 mm,1.86 kg,2,"IPS-Level Display (with 144Hz Refresh Rate, 100% sRGB)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,1 x HDMI Port,Yes,,Yes,"Red , Yes",Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA Geforce GTX1650 Max Q,GDDR6 4 GB,8 GB DDR4,512 GB,3 cell Cell Battery,"Laptop, Battery, Power Adapter, User Guide",1,3,0
HP,12726936.450000001,Core i5,Netbook,Windows 10 Home,360 x 256 x 23.4 mm,2.28 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD IPS Micro-Edge Display (250 nits Brightness, 45% NTSC Color Gamut)",Integrated 10/100/1000 GbE LAN,1 x HDMI 2.0 Port,Yes,Yes,Yes,"Full-Size Island-Style Ultra Violet with Numeric Keypad, Yes",Yes,Integrated Dual Array Digital Microphone,Dual Speakers,No,Intel Core i5,"4.4 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,256 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,1,2
ASUS,16967614.5,Ryzen 7 ,Netbook,Windows 11 Home,359 x 256 x 24.5 mm,2.3 kg,1,Full HD,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144Hz, Viewing Angle 85/85/85/85, Value IPS-level, Brightness 250nits, Contrast 1000:1, NTSC 45.00% SRGB 62.5% Adobe 47.34% display",10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Built-in array microphone,Built-in Dual Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
HP,17855496.45,Core i7,Netbook,Windows 11 Home,,,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,144Hz Refresh Rate,"Integrated 10/100/1000 GbE LAN
",1 x HDMI 1.4 Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,Intel Core i7,Deca Core Turbo Boost Upto 4.7 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,4 GB,16 GB DDR4,512 GB,4 Cell Battery,,1,1,0
Acer,10826541.0,Core i5,Netbook,Windows 11 Home,362 x 237 x 17.9 mm,1.8 kg,1,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,No,1 x HDMI Port,Yes,,Yes,99- 100- 103-key ,Yes,Built-in Digital Microphone,Built In Dual Stereo Speakers,No,Intel Core i5,"3.3 GHz, 12 Core",12,NVIDIA,12th Gen,NVIDIA GeForce RTX 2050,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
ASUS,10368364.5,Core i5,Netbook,Windows 11 Home,359 x 256 x 24.9 mm,2.3 kg,1,"Full HD LED Backlit, IPS Display",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB",10/100/1000,1 x HDMI v2.0b Port,Yes,Yes,Yes,"RGB Backlit Chiclet English Keyboard, Yes",Yes,Built-in Array Microphone,Built in Speakers,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,1
Dell,19536796.8,Core i7,Netbook,Windows 11 Home,357 x 272 x 26.9 mm,2.57 kg,1,,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD WVA AG 120Hz 250 nits Narrow Border,Available,1 x HDMI 2.1 Port,Yes,Yes,Yes,"4 Zone RGB, Yes",Yes,Yes,Yes,No,Intel Core i7,"3.5 GHz, Octa Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR5,512 GB,3 Cell Battery,"Laptop, battery, adapter, cables and user manuals",0,3,1
Lenovo,26395114.5,Core i7,Netbook,Windows 11 Home,,2.4 kg,1,WQXGA,No,15.6 inches,2560 x 1600 pixels,~ 184,Yes,"165 Hz Refresh Rate, 100% sRGB",,1 x HDMI Port,Yes,Yes,Yes,"Backlit, English, Yes",Yes,Yes,,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,1 TB,,"Laptop, Power Adapter, User Guide, Warranty Documents",2,3,0
Lenovo,10839739.5,Ryzen 5 ,Netbook,Windows 11 Home,359 x 249.6 x 24.9 mm,2.25 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit, IPS Display (250 nits Brightness, 60Hz Refresh Rate, 3-Sided Narrow Bezel)",100/1000 MBPS,1 x HDMI v2.0 Port,Yes,Yes,Yes,Yes,Yes,Built-In Dual Array Microphone,Built-In Dual Stereo Speakers,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
HP,19418764.5,Ryzen 7 ,Netbook,Windows 11 Home,369 x 245 x 22.5 mm,2.32 kg,1,Full HD,No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,"144 Hz, 7 ms Response Time, IPS, Micro-Edge, Brightness: 300 nits, 137 PPI, Color Gamut: 100% sRGB",Integrated 10/100/1000 GbE LAN,1 x HDMI 2.1 Port,Yes,,Yes,"Full-Size, 4-Zone RGB Backlit, Mica Silver Keyboard and 26-Key Rollover Anti-Ghosting Key Technology, Yes",Yes,Integrated Dual Array Digital Microphones,Built-in Dual Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,AMD,6th Gen,AMD Radeon RX 6650M,GDDR6 8 GB,16 GB DDR5,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",2,2,0
Acer,11122564.5,Core i5,Netbook,Windows 11 Home,362.3 x 237.4 x 19.9 mm,2.1 kg,1,"Full HD,",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,,1 x HDMI Port,Yes,,Yes,Yes,Yes,Built-in Digital Microphone,Built-in Dual Stereo Speaker,No,Intel Core i5,12 Core Turbo Boost Upto 4.4 GHz,12 MB,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,16 GB,512 GB,3 Cell Battery,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",1,3,0
HP,11294145.0,Ryzen 5 ,Netbook,Windows 11 Home,358 x 255 x 24 mm,2.37 kg,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",1 x HDMI Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad
",Yes,"Dual Array Digital Microphones
",Dual speakers,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6  4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adapter
",1,2,0
ASUS,17910364.5,Ryzen 7,Netbook,Windows 11 Home,354 x 251 x 24.9 mm,2.2 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144Hz Refresh Rate, Anti-Glare IPS-level Adaptive-Sync display",,1 x HDMI Port,Yes,Yes,Yes,Backlit Chiclet Keyboard 1-Zone RGB,Yes,Yes,2-speaker system,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3060,GDDR6  6 GB,16 GB DDR5,512 GB,4 Cell Battery,"Laptop, AC Adapter, User Guide, Manuals",2,2,0
ASUS,20738614.5,Core i7,Netbook,Windows 11 Home,395 x 264 x 25.4 mm,2.6 kg,1,IPS-level,No,17.3 inches,1920 x 1080 pixels,~ 127,Yes,,,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard RGB, Yes",Yes,Built-in array microphone,Two built-in speakers,No,Intel Core i7,3 GHz Turbo Boost Upto 4.7 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
HP,11311114.5,Ryzen 5 ,Netbook,Windows 11 Home,360 x 257 x 23.5 mm,1.98 kg,1,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Micro-edge, Brightness: 300 nits, Color Gamut: 72% NTSC",Integrated 10/100/1000 GbE LAN,1 x HDMI 2.0 Port,Yes,Yes,Yes,"Full-size, Ultra Violet Backlit, Shadow Black Keyboard With Numeric Keypad",Yes,Built-in Dual Array Microphone,Built-in Dual Speakers,No,AMD Ryzen 5,"2.4 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 3050,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",1,0,1
MSI,10653075.0,Ryzen 5 ,Netbook,Windows 10 Home,359 x 259 x 24.95 mm,2.35 kg,1,IPS-Level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD 144Hz 45%NTSC IPS-Level Display,Yes,1 x HDMI Port,Yes,Yes,Yes,Single Backlight Red Keyboard,Yes,Built-in Microphone,Built-in Speaker,No,AMD Ryzen 5,"4.2 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,AMD,5th Gen,AMD Radeon RX5500M,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Battery, Power Adapter, User Guide",1,2,1
HP,12573079.65,Ryzen 5 ,Netbook,Windows 10 Home,370 x 262 x 24 mm,2.48 kg,1,IPS,No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",1 x HDMI 1.4 Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad
",Yes,"Dual Array Digital Microphones
",Dual speakers,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650 ,GDDR6  4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adapter
",1,1,0
Lenovo,29789014.5,Core i7,Netbook,Windows 11 Home,358 x 260 x 17 mm,2.23 kg,1,IPS Screen,No,16 inches,2560 x 1600 pixels,~ 188,Yes,"500Nits Brightness, 100 Percent sRGB, Dolby Vision, Free-Sync, G-Sync, DC Dimmer",No,,Yes,Yes,Yes,,Yes,Yes,Stereo Speakers,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR5,1 TB,,,2,3,0
Dell,28678455.0,Core i9,Netbook,Windows 11,,,1,LED,No,15.6 inches,2560 x 1440 pixels,~ 141,Yes,165Hz,,1 x HDMI 2.1 Port,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i9,"1.8 GHz, 14 Core Turbo Boost Upto 5 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GEFORCE RTX 3070 Ti,GDDR6 8 GB,16 GB LPDDR5,1 TB,,,1,3,0
Dell,34284612.15,Core i9,Netbook,Windows 11,,,1,LED,No,15.6 inches,2560 x 1440 pixels,~ 141,Yes,240Hz,,1 x HDMI 2.1 Port,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i9,"1.8 GHz, 14 Core Turbo Boost Upto 5 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GEFORCE RTX 3070 Ti,GDDR6 8 GB,16 GB LPDDR5,1 TB,,,1,3,0
MSI,53923414.5,Core i7,Netbook,Windows 11 Home,,2.1 kg,2,,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,DCI-P3 100% typical,Killer Gb LAN (Up to 2.5G),1 x HDMI Port,Yes,Yes,Yes,Per-Key RGB Backlight Keyboard,Yes,Yes,2x 2W Speaker,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070Ti,GDDR6 8 GB,32 GB DDR5,1 TB,4 Cell Battery,"Laptop, Adapter, Stealth Trooper Backpack II",2,2,0
MSI,9425614.5,Core i5,Netbook,Windows 11 Home,359 x 254 x 21.7 mm,1.86 kg,2,"LED, 144Hz",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD LED Backlit IPS Display,Yes,1 x HDMI Port,Yes,Yes,Yes,Backlight Keyboard (Single Color - Red),Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i5,"2.5 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
MSI,9802714.5,Core i5,Netbook,Windows 11 Home,359 x 254 x 21.7 mm,1.86 kg,2,"Full HD, Refresh Rate: 60 Hz, 45% NTSC IPS-Level",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,1 x HDMI Port,Yes,,Yes,Single Backlight Keyboard(Red),Yes,Built-in microphone,Built-in Dual Speaker,No,Intel Core i5,"2.2 GHz, Octa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650 Max-Q,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
MSI,23851575.0,Core i7,Netbook,Windows 11 Home,358 x 267 x 23 mm,2.38 kg,2,240Hz,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,100%sRGB,Ethernet LAN (Up to 2.5G),1 x HDMI Port,Yes,,Yes,Per-Key RGB Backlight Keyboard,Yes,1x Mic-in/Headphone-out Combo Jack,2x 2W Speaker,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Adapter, Stealth Trooper Backpack II",1,3,0
